,name,psnr,ssim,test_time
0,01,28.5,0.83,15.49
1,02,31.2,0.83,15.39
2,03,29.04,0.85,15.21
3,04,27.39,0.83,15.67
4,05,28.96,0.9,15.32
5,06,25.39,0.79,15.19
6,07,27.94,0.83,15.58
7,08,30.98,0.84,50.96
8,09,28.25,0.84,50.74
9,10,28.49,0.76,50.75
10,11,28.97,0.79,53.5
11,12,28.7,0.79,50.96
12,Average,28.65,0.82,30.4
