,name,psnr,ssim,test_time
0,01,32.68,0.9,25.76
1,02,35.44,0.88,15.22
2,03,34.13,0.93,15.36
3,04,33.13,0.93,15.51
4,05,34.55,0.96,15.34
5,06,31.33,0.91,15.66
6,07,32.42,0.91,15.36
7,08,35.4,0.91,53.37
8,09,33.4,0.93,51.17
9,10,33.13,0.88,53.51
10,11,33.41,0.9,51.17
11,12,33.32,0.9,51.18
12,Average,33.53,0.91,31.55
