,name,psnr,ssim,test_time
0,Butterfly,33.1,0.83,71.19
1,Ecoli,26.88,0.71,57.47
2,PillarsofCreation,31.51,0.84,61.12
3,Pollen,25.73,0.76,58.22
4,TadpoleGalaxy,30.43,0.6,59.06
5,Yeast,37.42,0.94,57.89
6,barbara,27.1,0.79,57.57
7,boat,27.53,0.71,61.53
8,cameraman,27.58,0.8,35.41
9,couple,27.31,0.72,64.52
10,peppers,30.36,0.81,60.32
11,streamandbridge,23.88,0.58,52.6
12,Average,29.07,0.76,58.07
