,name,psnr,ssim,test_time
0,01,27.82,0.81,7.07
1,02,28.9,0.8,6.46
2,03,28.17,0.83,6.47
3,04,26.82,0.81,6.65
4,05,27.7,0.87,6.5
5,06,24.75,0.76,6.34
6,07,27.13,0.8,6.61
7,08,29.8,0.81,20.85
8,09,27.34,0.79,21.27
9,10,27.73,0.72,21.02
10,11,27.19,0.69,20.93
11,12,27.35,0.72,21.09
12,Average,27.56,0.78,12.61
