,name,psnr,ssim,test_time
0,Butterfly,31.51,0.82,106.23
1,Ecoli,24.95,0.57,98.27
2,PillarsofCreation,31.2,0.83,105.11
3,Pollen,24.3,0.69,101.38
4,TadpoleGalaxy,32.32,0.81,104.17
5,Yeast,35.35,0.88,108.24
6,barbara,25.83,0.72,107.03
7,boat,26.13,0.64,105.71
8,cameraman,25.57,0.66,60.07
9,couple,26.43,0.69,109.57
10,peppers,27.94,0.69,108.12
11,streamandbridge,23.53,0.59,107.02
12,Average,27.92,0.72,101.74
