,name,psnr,ssim,test_time
0,Butterfly,32.01,0.82,129.27
1,Ecoli,26.42,0.49,28.58
2,PillarsofCreation,31.68,0.84,31.59
3,Pollen,25.7,0.75,31.83
4,TadpoleGalaxy,32.9,0.81,29.99
5,Yeast,37.81,0.94,29.18
6,barbara,28.45,0.84,29.26
7,boat,28.55,0.76,29.7
8,cameraman,28.38,0.83,12.47
9,couple,28.49,0.77,29.13
10,peppers,31.12,0.82,29.97
11,streamandbridge,25.0,0.68,29.64
12,Average,29.71,0.78,36.72
