,name,psnr,ssim,test_time
0,Butterfly,33.36,0.86,52.52
1,Ecoli,24.54,0.45,50.41
2,PillarsofCreation,33.22,0.87,50.35
3,Pollen,27.84,0.85,50.71
4,TadpoleGalaxy,35.72,0.85,51.0
5,Yeast,37.7,0.93,50.57
6,barbara,28.38,0.84,50.61
7,boat,28.54,0.76,50.58
8,cameraman,28.31,0.83,15.45
9,couple,28.47,0.77,50.45
10,peppers,31.05,0.82,50.61
11,streamandbridge,24.96,0.68,50.54
12,Average,30.17,0.79,47.82
