,name,psnr,ssim,test_time
0,Butterfly,32.06,0.83,63.1
1,Ecoli,28.39,0.6,26.16
2,PillarsofCreation,32.5,0.86,24.83
3,Pollen,27.12,0.83,24.75
4,TadpoleGalaxy,31.83,0.79,24.88
5,Yeast,37.82,0.94,24.9
6,barbara,27.32,0.82,24.92
7,boat,26.89,0.72,24.95
8,cameraman,27.37,0.81,8.06
9,couple,27.81,0.77,25.0
10,peppers,29.74,0.78,24.87
11,streamandbridge,24.42,0.7,24.84
12,Average,29.44,0.79,26.77
