,name,psnr,ssim,test_time
0,01,27.58,0.8,30.13
1,02,30.44,0.81,31.15
2,03,28.13,0.83,29.63
3,04,26.63,0.8,28.0
4,05,27.75,0.87,32.17
5,06,19.1,0.38,29.46
6,07,27.09,0.8,29.87
7,08,29.87,0.81,67.18
8,09,27.1,0.79,54.02
9,10,27.53,0.71,54.62
10,11,27.33,0.7,57.18
11,12,27.31,0.72,53.33
12,Average,27.15,0.75,41.4
