,name,psnr,ssim,test_time
0,Butterfly,33.34,0.87,23.21
1,Ecoli,26.79,0.49,23.28
2,PillarsofCreation,33.05,0.87,23.09
3,Pollen,28.07,0.86,22.99
4,TadpoleGalaxy,34.12,0.83,23.06
5,Yeast,37.17,0.93,22.9
6,barbara,27.18,0.82,23.09
7,boat,28.38,0.76,23.05
8,cameraman,28.01,0.82,15.01
9,couple,28.33,0.77,23.11
10,peppers,30.84,0.82,23.42
11,streamandbridge,25.01,0.68,23.15
12,Average,30.03,0.79,22.45
