,name,psnr,ssim,test_time
0,01,25.56,0.65,113.02
1,02,27.89,0.66,93.81
2,03,26.43,0.73,28.62
3,04,24.82,0.71,27.92
4,05,26.42,0.81,27.3
5,06,21.81,0.45,29.84
6,07,25.23,0.68,26.35
7,08,28.25,0.72,274.52
8,09,25.87,0.72,194.79
9,10,26.38,0.64,74.57
10,11,27.03,0.69,74.54
11,12,26.59,0.69,77.71
12,Average,26.02,0.68,86.91
