,name,psnr,ssim,test_time
0,Butterfly,35.1,0.89,173.09
1,Ecoli,25.41,0.49,33.9
2,PillarsofCreation,33.34,0.87,33.19
3,Pollen,27.65,0.85,33.61
4,TadpoleGalaxy,39.11,0.91,33.97
5,Yeast,34.75,0.91,33.37
6,barbara,27.47,0.83,33.03
7,boat,27.38,0.74,34.39
8,cameraman,26.68,0.78,13.34
9,couple,27.49,0.76,33.83
10,peppers,30.07,0.79,33.13
11,streamandbridge,24.42,0.71,33.81
12,Average,29.91,0.79,43.55
