,name,psnr,ssim,test_time
0,01,30.96,0.88,15.92
1,02,33.63,0.87,15.46
2,03,31.87,0.9,15.48
3,04,30.36,0.89,15.43
4,05,31.94,0.94,15.57
5,06,28.67,0.87,15.47
6,07,30.53,0.89,15.43
7,08,33.47,0.89,54.6
8,09,31.09,0.9,51.05
9,10,31.01,0.84,51.73
10,11,31.46,0.87,51.19
11,12,31.24,0.86,51.76
12,Average,31.35,0.88,30.76
